token,index
<s>,0
</s>,1
<blank>,2
<unk>,3
の,4
は,5
に,6
て,7
た,8
を,9
が,10
だ,11
?,12
で,13
。,14
と,15
.,16
し,17
か,18
も,19
ない,20
な,21
ん,22
です,23
よ,24
!,25
私,26
から,27
ます,28
、,29
こと,30
何,31
・,32
い,33
てる,34
ね,35
する,36
それ,37
いる,38
まし,39
この,40
お,41
さ,42
って,43
れ,44
これ,45
そう,46
ある,47
彼,48
じゃ,49
どう,50
わ,51
いい,52
人,53
あなた,54
俺,55
その,56
君,57
ませ,58
"""",59
さん,60
よう,61
...,62
ば,63
「,64
」,65
ここ,66
見,67
いう,68
たち,69
事,70
お前,71
あり,72
ら,73
たら,74
なら,75
くれ,76
だっ,77
的,78
もう,79
だけ,80
誰,81
たい,82
今,83
や,84
もの,85
者,86
言っ,87
けど,88
彼女,89
なっ,90
僕,91
ぞ,92
まで,93
なかっ,94
あっ,95
あの,96
なく,97
来,98
なる,99
やっ,100
中,101
年,102
ため,103
前,104
でき,105
時,106
~,107
せ,108
つ,109
でしょう,110
へ,111
き,112
達,113
自分,114
-,115
どこ,116
1,117
そして,118
そんな,119
必要,120
なん,121
話,122
られ,123
思っ,124
知っ,125
だろ,126
2,127
だろう,128
でし,129
方,130
一,131
より,132
できる,133
ちょっと,134
考え,135
気,136
時間,137
ああ,138
出,139
家,140
なり,141
―,142
つい,143
本当,144
➡,145
我々,146
はい,147
まだ,148
行く,149
ねえ,150
日,151
言う,152
れる,153
世界,154
そこ,155
ください,156
思い,157
3,158
目,159
思う,160
大丈夫,161
なぜ,162
持っ,163
後,164
聞い,165
行っ,166
いや,167
こんな,168
話し,169
手,170
男,171
また,172
仕事,173
他,174
なんて,175
問題,176
あれ,177
同じ,178
《,179
おい,180
一緒,181
み,182
ありがとう,183
》,184
でしょ,185
奴,186
ちゃん,187
皆,188
今日,189
みたい,190
分かっ,191
知ら,192
子,193
様,194
みんな,195
ご,196
あんた,197
ましょう,198
子供,199
すぐ,200
待っ,201
やる,202
もし,203
よく,204
電話,205
しかし,206
人間,207
),208
(,209
上,210
所,211
場所,212
なさい,213
べき,214
力,215
出し,216
ところ,217
金,218
こう,219
違う,220
じゃあ,221
とき,222
わかっ,223
好き,224
ただ,225
全て,226
ず,227
良い,228
少し,229
うん,230
わけ,231
死ん,232
性,233
車,234
先生,235
言い,236
見つけ,237
取り,238
願い,239
しれ,240
たく,241
殺し,242
分,243
もっと,244
しよう,245
次,246
どんな,247
無い,248
はず,249
生き,250
名前,251
間,252
られる,253
ええ,254
受け,255
言わ,256
くれる,257
せる,258
あ,259
関係,260
信じ,261
しろ,262
たり,263
悪い,264
いつ,265
とても,266
なけれ,267
助け,268
可能,269
入れ,270
いく,271
入っ,272
かけ,273
ごめん,274
不,275
:,276
数,277
来る,278
女,279
♪,280
意味,281
物,282
通り,283
教え,284
[,285
ぜ,286
5,287
つもり,288
],289
しか,290
くる,291
すべて,292
心,293
連れ,294
いつも,295
4,296
家族,297
情報,298
度,299
女性,300
感じ,301
早く,302
心配,303
最後,304
いっ,305
オレ,306
以上,307
別,308
うち,309
ほど,310
出来,311
多く,312
10,313
我,314
新しい,315
人々,316
行き,317
一人,318
方法,319
こっち,320
理由,321
やめ,322
戻っ,323
警察,324
事件,325
最初,326
ずっと,327
えっ,328
つけ,329
為,330
ダメ,331
二,332
とっ,333
え,334
ちゃっ,335
すれ,336
いけ,337
もん,338
人生,339
落ち,340
欲しい,341
始め,342
写真,343
父さん,344
さあ,345
なきゃ,346
体,347
見え,348
顔,349
まあ,350
研究,351
頭,352
使っ,353
ござい,354
など,355
全部,356
やり,357
2人,358
つまり,359
息子,360
部屋,361
国,362
先,363
本,364
覚え,365
神,366
娘,367
出す,368
ママ,369
よし,370
あいつ,371
起き,372
官,373
結婚,374
重要,375
友達,376
会っ,377
理解,378
あと,379
見せ,380
大,381
n,382
もちろん,383
す,384
≪,385
食べ,386
実際,387
父,388
でる,389
ー,390
こちら,391
パパ,392
忘れ,393
捜査,394
どういう,395
探し,396
外,397
回,398
学校,399
会社,400
是,401
歳,402
下,403
居,404
引き,405
分かる,406
見る,407
行か,408
第,409
なに,410
言葉,411
分から,412
母さん,413
ドル,414
バカ,415
くらい,416
アメリカ,417
連絡,418
無理,419
よかっ,420
準備,421
確か,422
行け,423
下さい,424
大きな,425
よっ,426
6,427
とも,428
殺さ,429
ほら,430
危険,431
作っ,432
得,433
せい,434
いえ,435
一度,436
夢,437
死ぬ,438
絶対,439
止め,440
機,441
1人,442
実,443
やつ,444
まま,445
約束,446
しまっ,447
犯人,448
逃げ,449
相手,450
殺人,451
知り,452
なんか,453
帰っ,454
説明,455
明日,456
化,457
ねぇ,458
安全,459
言え,460
結果,461
存在,462
答え,463
仲間,464
どの,465
出来る,466
夜,467
攻撃,468
取っ,469
素晴らしい,470
こそ,471
わから,472
一番,473
たかっ,474
嘘,475
会,476
聞き,477
やら,478
",",479
殺す,480
ながら,481
質問,482
わかる,483
計画,484
状況,485
初めて,486
技術,487
調べ,488
命,489
まず,490
会い,491
どれ,492
水,493
ホント,494
用,495
確認,496
待て,497
友人,498
銃,499
室,500
すごい,501
病院,502
二人,503
簡単,504
月,505
こいつ,506
上げ,507
てん,508
行こう,509
分かり,510
学,511
愛し,512
最高,513
ちゃ,514
かしら,515
見える,516
科学,517
長,518
きっと,519
続け,520
思わ,521
ほう,522
了,523
名,524
生,525
込ん,526
地球,527
声,528
社会,529
死,530
%,531
20,532
場合,533
部,534
生活,535
非常,536
よる,537
頃,538
あぁ,539
どうぞ,540
ちゃんと,541
全員,542
大変,543
店,544
違い,545
終わり,546
点,547
行動,548
道,549
患者,550
興味,551
脳,552
番,553
いいえ,554
ジョン,555
自身,556
システム,557
士,558
頼む,559
一体,560
解決,561
発見,562
証拠,563
間違い,564
カード,565
最も,566
話す,567
街,568
与え,569
船,570
8,571
たくさん,572
ヤツ,573
持ち,574
チーム,575
データ,576
しまう,577
件,578
7,579
気持ち,580
自由,581
週間,582
宇宙,583
−,584
呼ん,585
母,586
十分,587
ゲーム,588
普通,589
作り,590
昔,591
父親,592
すみ,593
今度,594
書い,595
うまく,596
すぎ,597
野郎,598
状態,599
音,600
なし,601
員,602
生まれ,603
妻,604
大学,605
最近,606
ばかり,607
大事,608
良く,609
